"year_p_name","year_p_year","year_p_Tm","year_p_Pk","year_p_Rk","year_p_college","year_p_Yrs","year_p_G","year_p_MP","year_p_PTS","year_p_TRB","year_p_AST","year_p_FG","year_p__3P","year_p_FT","year_p_MP_PG","year_p_PTS_PG","year_p_TRB_PG","year_p_AST_PG","year_p_WS_ADV","year_p_WS48_ADV","year_p_BPM_ADV","year_p_VORP_ADV"
"Gene Vance","1947","CHS","","36","Illinois","5","175","118","1445","109","403",".315","",".687","16.9","8.3","3.0","2.3","10.3","-.008","",""
"Andy Duncan","1947","NYK","","37","William & Mary","3","136","","746","30","101",".408","",".596","","5.5","2.1","0.7","6.8","","",""
"Ray Evans","1947","NYK","","38","Kansas","","","","","","","","","","","","","","","","",""
"Ed Golub","1947","NYK","","39","","","","","","","","","","","","","","","","","",""
"Garland Head","1947","NYK","","40","Texas Tech","","","","","","","","","","","","","","","","",""
"Ron Livingston","1947","NYK","","41","Saint Mary's","","","","","","","","","","","","","","","","",""
"Dan Miller","1947","NYK","","42","Saint Louis","","","","","","","","","","","","","","","","",""
"Wat Misaka","1947","NYK","","43","Utah","1","3","","7","","0",".231","",".333","","2.3","","0.0","0.0","","",""
"Carl Reichert","1947","NYK","","44","Findlay (OH)","","","","","","","","","","","","","","","","",""
"Tom Tomlinson","1947","NYK","","45","SMU","","","","","","","","","","","","","","","","",""
"Norman Butz","1947","PHW","","46","Saint Joseph's","","","","","","","","","","","","","","","","",""
"Jim Kaeding","1947","PHW","","47","York College of Pennsylvania","","","","","","","","","","","","","","","","",""
"Ed Koffenberger","1947","PHW","","48","Duke","","","","","","","","","","","","","","","","",""
"Jim Pollard","1947","PHW","","49","Stanford","7","438","9391","5762","2487","1417",".360","",".750","35.4","13.2","7.8","3.2","34.9",".093","",""
"Bob Alamo","1947","PIT","","50","Santa Clara","","","","","","","","","","","","","","","","",""
"George Brown","1947","PIT","","51","","","","","","","","","","","","","","","","","",""
"Dick Ives","1947","PIT","","52","Iowa","","","","","","","","","","","","","","","","",""
"Herman Knoche","1947","PIT","","53","Washington & Jefferson College","","","","","","","","","","","","","","","","",""
"Fritz Nagy","1947","PIT","","54","University of Akron","1","50","","253","","68",".347","",".670","","5.1","","1.4","2.1","","",""
"Jack Walton","1947","PIT","","55","DePaul","","","","","","","","","","","","","","","","",""
"Joe Barry","1947","PRO","","56","","","","","","","","","","","","","","","","","",""
